,City name,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
437,broome,au,52.47,1.45,-5.0,9.3,85.0,80.0
438,chimbote,pe,-9.08,-78.59,20.74,2.56,85.0,0.0
440,yenagoa,ng,4.92,6.26,22.34,1.66,99.0,88.0
441,neuquen,ar,-38.95,-68.06,29.0,1.5,39.0,0.0
442,lisakovsk,kz,52.55,62.49,-21.39,3.81,73.0,0.0
443,waingapu,id,-9.65,120.26,24.81,1.71,99.0,12.0
444,dovers,vc,12.88,-61.18,25.59,6.56,100.0,0.0
445,souillac,mu,45.6,-0.6,2.0,2.1,92.0,92.0
446,yar-sale,ru,66.83,70.83,-11.79,14.11,85.0,92.0
447,cordoba,ar,5.59,-73.79,13.84,1.01,71.0,8.0
448,key west,us,47.93,-96.78,0.0,3.6,85.0,1.0
449,acajutla,sv,13.59,-89.83,31.0,2.6,62.0,0.0
450,soma,tr,37.8,140.92,8.0,10.8,100.0,75.0
451,pirovskoye,ru,57.63,92.27,-29.44,1.46,60.0,0.0
452,salinas,ec,36.67,-121.66,15.0,4.1,54.0,1.0
453,maniwaki,ca,46.38,-75.98,1.06,2.76,99.0,88.0
454,waddan,ly,29.16,16.14,8.09,1.31,87.0,0.0
455,magadi,ke,12.96,77.22,15.0,0.5,100.0,0.0
456,batagay-alyta,ru,67.8,130.41,-24.02,1.06,68.0,48.0
457,ormara,pk,25.21,64.64,21.01,2.56,90.0,20.0
459,ekhabi,ru,53.51,142.97,-16.82,1.51,90.0,20.0
460,kargopol,ru,61.51,38.95,-16.59,4.91,69.0,32.0
461,yantal,ru,56.85,105.25,-22.79,1.11,63.0,48.0
462,kungurtug,ru,50.6,97.53,-12.82,2.06,72.0,64.0
463,robertson,za,-33.8,19.88,8.16,0.86,92.0,0.0
464,batken,kg,40.06,70.82,3.19,1.16,86.0,8.0
465,storsteinnes,no,69.24,19.23,0.0,3.6,86.0,92.0
466,east brainerd,us,35.0,-85.15,12.0,2.6,93.0,90.0
467,hervey bay,au,-25.3,152.85,26.84,1.36,92.0,0.0
468,samana,do,0.12,-76.97,27.0,1.0,78.0,75.0
469,riberalta,bo,-11.0,-66.08,30.0,0.61,79.0,75.0
470,channel-port aux basques,ca,47.57,-59.14,-2.49,4.46,100.0,0.0
471,saint-paul,re,45.22,1.9,4.0,6.7,86.0,90.0
472,obama,jp,35.49,135.74,9.11,9.46,82.0,0.0
473,ambon,id,47.55,-2.56,-3.0,8.2,86.0,90.0
474,pemba,mz,-12.97,40.52,28.94,0.76,100.0,0.0
475,marsh harbour,bs,26.54,-77.06,23.09,5.66,100.0,80.0
476,okakarara,na,-20.59,17.46,21.46,1.11,57.0,88.0
